Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,NameASCII,PlayerId,MLBAMID
"Paul Goldschmidt","- - -","1B",405,384,3394.1,3024,294,11,8,2,309,23,1,315,48,,,,,0.9966957,,"Paul Goldschmidt",9218,502671
"Starling Marte","NYM","RF",172,163,1389,291,13,3,3,0,0,3,0,0,,,,,,0.99022801,,"Starling Marte",9241,516782
"Patrick Corbin","- - -","P",91,91,497,24,70,3,1,2,4,3,0,1,,71,,,,0.96907216,,"Patrick Corbin",9323,571578
"Evan Longoria","ARI","3B",41,36,300,25,60,2,1,1,3,3,0,1,,,,,,0.97701149,,"Evan Longoria",9368,446334
"Yan Gomes","CHC","C",137,119,1065.2,1034,60,6,0,6,0,6,0,2,,81,28,4,44,0.99454545,,"Yan Gomes",9627,543228
"Christian Vázquez","MIN","C",240,228,1995.1,2167,77,14,3,11,5,9,4,1,,155,46,5,55,0.99379982,,"Christian Vazquez",9774,543877
"Nolan Arenado","STL","3B",366,365,3157.2,231,727,21,12,7,72,72,3,5,,,,,,0.97854954,,"Nolan Arenado",9777,571448
"Miles Mikolas","STL","P",95,95,514.1,47,43,3,1,2,4,3,0,1,,32,,,,0.96774194,,"Miles Mikolas",9803,571945
"DJ LeMahieu","NYY","1B",94,71,673.1,566,47,4,3,1,47,6,2,48,11,,,,,0.99351702,,"DJ LeMahieu",9874,518934
"DJ LeMahieu","NYY","2B",54,44,396,67,101,0,0,0,20,4,16,1,,,,,,1,,"DJ LeMahieu",9874,518934
"DJ LeMahieu","NYY","3B",105,101,888.1,62,203,2,1,1,14,15,0,2,,,,,,0.99250936,,"DJ LeMahieu",9874,518934
"Christian Bethancourt","- - -","C",162,131,1182,1185,53,9,0,9,0,4,0,1,,72,25,4,50,0.99278268,,"Christian Bethancourt",10028,542194
"Kyle Gibson","- - -","P",67,67,374,31,31,1,0,1,3,1,0,2,,15,,,,0.98412698,,"Kyle Gibson",10123,502043
"Mike Trout","LAA","CF",103,103,884,248,4,0,0,0,0,2,0,0,,,,,,1,,"Mike Trout",10155,545361
"Tucker Barnhart","- - -","C",80,69,599,552,15,4,3,1,1,1,1,1,,46,11,1,23,0.99299475,,"Tucker Barnhart",10200,571466
"Jose Iglesias","- - -","2B",100,90,781.2,146,197,3,0,3,51,15,37,2,,,,,,0.99132948,,"Jose Iglesias",10231,578428
"Randal Grichuk","- - -","LF",91,81,715,154,7,2,2,0,0,2,0,0,,,,,,0.98773006,,"Randal Grichuk",10243,545341
