,Team,PA,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,R,RBI,AVG,OBP,SLG,OPS
Nacho Alvarez Jr.,ATL,411,347,73,46,19,2,6,64,74,0,0,0,43,0.21,0.333,0.329,0.662
JJ Bleday,OAK,197,177,37,21,9,1,6,20,39,0,0,0,25,0.209,0.289,0.373,0.662
Justyn-Henry Malloy,DET,165,142,28,20,1,0,7,23,37,0,0,0,14,0.197,0.309,0.352,0.661
Michael Chavis,WSN,163,147,34,22,9,0,3,16,26,0,0,0,20,0.231,0.307,0.354,0.661
Jeremy Peña,HOU,194,160,30,19,5,0,6,34,32,0,0,0,22,0.188,0.33,0.331,0.661
Austin Wynns,NYM,212,192,44,32,4,3,5,20,48,0,0,0,25,0.229,0.302,0.359,0.661
Oswaldo Cabrera,NYY,289,237,46,30,8,2,6,52,42,0,0,0,28,0.194,0.339,0.321,0.66
Garrett Stubbs,PHI,215,176,40,30,9,1,0,39,33,0,0,0,27,0.227,0.367,0.29,0.657
Amed Rosario,CHC,180,158,36,27,4,2,3,22,21,0,0,0,11,0.228,0.322,0.335,0.657
Kameron Misner,TBR,287,232,43,24,12,3,4,55,56,0,0,0,30,0.185,0.341,0.315,0.656
Andy Ibáñez,DET,171,148,29,17,6,1,5,23,31,0,0,0,22,0.196,0.304,0.351,0.655
Freddy Fermin,DET,164,142,30,20,6,0,4,22,26,0,0,0,19,0.211,0.317,0.338,0.655
Jackie Bradley Jr.,KCR,281,249,56,39,11,0,6,32,44,0,0,0,27,0.225,0.313,0.341,0.654
Dominic Smith,NYM,206,181,39,25,9,1,4,25,41,0,0,0,19,0.215,0.311,0.343,0.654
Luke Voit,MIL,279,221,48,36,12,0,0,58,43,0,0,0,20,0.217,0.38,0.271,0.651
Brian Serven,COL,161,133,32,27,5,0,0,28,28,0,0,0,13,0.241,0.373,0.278,0.651
Vaughn Grissom,WSN,162,137,32,23,9,0,0,25,22,0,0,0,14,0.234,0.352,0.299,0.651
Matt McLain,CIN,235,193,39,27,8,0,4,42,49,0,0,0,25,0.202,0.345,0.306,0.651
Jonatan Clase,HOU,185,153,31,19,10,0,2,32,25,0,0,0,19,0.203,0.341,0.307,0.648
Mason McCoy,CIN,163,133,29,22,6,0,1,30,37,0,0,0,12,0.218,0.362,0.286,0.648
Jesús Sánchez,LAA,213,188,36,23,4,0,9,25,38,0,0,0,29,0.191,0.286,0.356,0.642
Javier Báez,DET,162,140,30,21,6,0,3,22,21,0,0,0,15,0.214,0.321,0.321,0.642
Samad Taylor,TBR,197,163,37,29,7,1,0,34,36,0,0,0,17,0.227,0.36,0.282,0.642
Oswald Peraza,SFG,166,141,32,24,7,0,1,25,27,0,0,0,14,0.227,0.343,0.298,0.641
Jace Peterson,KCR,166,143,30,20,7,0,3,23,36,0,0,0,15,0.21,0.319,0.322,0.641
Jonathan Ornelas,PIT,163,134,29,22,5,2,0,29,20,0,0,0,6,0.216,0.356,0.284,0.64
Ben Williamson,SEA,475,392,84,61,19,2,2,83,84,0,0,0,37,0.214,0.352,0.288,0.64
Brandon Lockridge,LAD,341,295,67,53,9,0,5,46,50,0,0,0,22,0.227,0.331,0.308,0.639
Hyeseong Kim,LAD,331,288,59,36,16,1,6,43,67,0,0,0,35,0.205,0.308,0.33,0.638
Tucupita Marcano,PIT,179,148,31,24,4,1,2,31,23,0,0,0,10,0.209,0.346,0.291,0.637
Xander Bogaerts,SDP,347,296,62,45,10,1,6,51,57,0,0,0,29,0.209,0.326,0.311,0.637
Josh Naylor,CIN,225,189,36,21,10,1,4,36,38,0,0,0,23,0.19,0.32,0.317,0.637
Daz Cameron,OAK,241,205,36,21,6,0,9,36,38,0,0,0,35,0.176,0.299,0.337,0.636
Masyn Winn,STL,210,178,36,24,8,1,3,32,35,0,0,0,11,0.202,0.324,0.309,0.633
Tyler Freeman,LAD,355,306,69,51,15,1,2,49,56,0,0,0,37,0.225,0.332,0.301,0.633
Bligh Madris,KCR,166,144,31,24,3,1,3,22,31,0,0,0,21,0.215,0.319,0.312,0.631
Brandon Drury,LAA,171,150,32,23,5,1,3,21,19,0,0,0,20,0.213,0.31,0.32,0.63
Danny Mendick,STL,185,156,34,28,3,1,2,29,33,0,0,0,14,0.218,0.341,0.288,0.629
Miguel Andujar,SFG,160,139,30,21,7,0,2,21,27,0,0,0,16,0.216,0.319,0.309,0.628
Adam Frazier,CLE,189,166,33,19,10,0,4,23,22,0,0,0,20,0.199,0.296,0.331,0.627
Connor Joe,COL,164,147,32,23,5,1,3,17,30,0,0,0,16,0.218,0.299,0.327,0.626
Zach McKinstry,DET,163,141,28,20,3,1,4,22,27,0,0,0,20,0.199,0.307,0.319,0.626
Jordan Westburg,BAL,432,373,69,40,16,1,12,59,78,0,0,0,40,0.185,0.296,0.33,0.626
LaMonte Wade Jr.,WSN,199,167,33,24,5,0,4,32,41,0,0,0,19,0.198,0.327,0.299,0.626
Miles Mastrobuoni,NYY,327,273,56,38,15,1,2,54,60,0,0,0,27,0.205,0.336,0.289,0.625
